text,intent
Cpuld you write an email to tom about workship?!!,email_send
"Plan a meeting with colleagues on this afternoon at 11:30am!,,",calendar_schedule
Could YOU CAN you SEND an email TO lisa about deadline?,email_send
Can YOU EMAIL JOHN REGARDING conference?,email_send
Could you i want to send an email to john regarding deadline?,email_send
I want to i need to email alex about workshop.,email_send
I want to i need information about remote work.,knowledge_query
i need to wat is our company's benefits policy.,knowledge_query
I need to ppease book a meeting with director at 10am.,calendar_schedule
Please email Tom about report?,email_send
I want to tell me something interesting....,general_chat
Please semd a message to mike via email about presentation.,email_send
"Hey, what's the process for expense so reporting",knowledge_query
"Hey, how do i request time off",knowledge_query
I want to search for budget?!!,web_search
Coukd you book a meeting with grpup for this afternoon?,calendar_schedule
"Hey, find me details about deadline",web_search
"I need so to i need to schedule a meeting with stakeholders on tuesday,",calendar_schedule
please write an email tu sarah about meeting.,email_send
Can YOU EXPLAIN sick polivy,knowledge_query
Draft an email to Lisa about budget?,email_send
"Hello, find me detauls about review",web_search
I wqnt to actually what's happening.,general_chat
Hello how are you,general_chat
Cam you swt a meeting with colleagues on friday?,calendar_schedule
Would basically you mind draft an email to sarah about budget?,email_send
"I WANT TO how IS everything,",general_chat
I need TO how's ur day going.,general_chat
Please I nded TO SCHEDULE a meeting with board ON friday.,calendar_schedule
What's up!,general_chat
could you add a meeting with PARTNERS TO my calendar for next WERK?,calendar_schedule
I want to i need information about expense.,knowledge_query
Can you what are thr guidelines for workahop?,knowledge_query
I want to search fof workshop!,web_search
can you find movie TIMES online?,web_search
What are the guidelines for conference.,knowledge_query
i need to what are the guidelines 4 meeting.,knowledge_query
can you book a meeting with colleagues 4 this afternoon?,calendar_schedule
Could you how uh does onboarding work?,knowledge_query
I want to find me details about project.,web_search
Write an email to Mikd about workshop,email_send
Look UP HOTEL deals ON the web?,web_search
Tell me about company travel!,knowledge_query
Can you sdnd a medsage to maria via email about budget?,email_send
Could you search basically for conference online?,web_search
send a message to tom via email bout meeting!,email_send
can you what'd up?,general_chat
Would you mind i need information about vacation!,knowledge_query
Can ypu what's happening?,general_chat
Could ylu compose an email to mike concerning training!,email_send
i want to DRAFT an email to david ABOUT PROJECT,email_send
"Hey, can you send an email to john about presentation",email_send
How does project approval work?..,knowledge_query
"Find me detzils abiut review,",web_search
i need 2 schedule a meeting with board on this afternoon!..,calendar_schedule
"Hello, create a calendar event with client on tomorrow",calendar_schedule
please what's NEW.,general_chat
I need to email Sarah about review!,email_send
I need to set up a meeting with stakeholders at 11:30am.??,calendar_schedule
Find informatiom about budget.,web_search
I need to email Emily about presentation?,email_send
please tell me SOMEYHING interestung.,general_chat
What are the guidelines for training!,knowledge_query
can u tell me something interesting,general_chat
"Hey, set a meeting with manager on tomorrow",calendar_schedule
Can basically you how's youe day gping!,general_chat
I need to write an email to jessica about deadline.,email_send
"Hey, explain the vacation policy",knowledge_query
please sezrch online fr hotel deals.,web_search
"Heklo, how do i report an issue",knowledge_query
Could you draft an email to mike avout presebtation?,email_send
I need to schedule a meeting with partners on next month...,calendar_schedule
Search the web for conference.??,web_search
"Hello, how's your day going",general_chat
Could you write an email to emily about review?,email_send
Please pleasd EMAIL tom about deadline.,email_send
I want to how does hiring work.,knowledge_query
"Hello, how uh are you!!",general_chat
can you I want 2 search for BUDGET,web_search
"Please can you schedule a meeting with stakeholders for wednesday,",calendar_schedule
Explain the remote work policy!,knowledge_query
"hello, set a MEETING WITH TEAM ON friday",calendar_schedule
"i need tu book a meeting with partners for tuday,",calendar_schedule
Search for meeting online,web_search
how ARE you DOING TODAY?,general_chat
"Hey, please book a meeting with colpeagues at 2:30pm",calendar_schedule
"Hello, what's the process for project approval",knowledge_query
I want to send an um email to david about training.,email_send
Csn you send an emaio to John about presentation.,email_send
Set UP A meeting WIRH team at 3:15PM!,calendar_schedule
Send an email to Emily about presentayion.,email_send
"Please UM can YOU explain sixk policy,",knowledge_query
Can you tell me how time off works?,knowledge_query
"Hey, please email david about project",email_send
could you WELL I wsnt to SEAFCH FOR budget!,web_search
"Hey, i wamt to sebd an email to david regarding workshop",email_send
"Hello, how are you",general_chat
I need to how's it going.!!,general_chat
Find actually information about workshop?,web_search
how does TIME off work.,knowledge_query
Could you plan a meeting with colleagues on tuesday at 3:15pm?,calendar_schedule
Schedule a meeting wirh stakeholders on Friday at 3pm,calendar_schedule
Please FOND information about workshop,web_search
I need information about benefits!,knowledge_query
Would YOU UM MIND how IS everything??,general_chat
cab yiu how do you feel tuday,general_chat
"Hello, send an emaik to alex about budget",email_send
"hey, RIGHT plan A MEETING with director ON friday at 11:30am",calendar_schedule
Cah YOU i WANT to send AN email to lisa REGAEDING meeting?,email_send
Please set a meeting with director on tuesday.,calendar_schedule
would YOU mind please book A meeting WIYH colleagues at 3pm?,calendar_schedule
would um you mind how's ur day going?,general_chat
i nerd tu how are you,general_chat
i need to how do ya feel today,general_chat
"Would you mind how's it well going!,,,",general_chat
"How's it going!,,,",general_chat
"Hello, tell me about company parental",knowledge_query
how's IT going.,general_chat
wpuld YOU MIND PLEASE book A MEETONG with team AT basically 11:30AM,calendar_schedule
"Hey, write an email to sarah about review",email_send
I need to what's the weathrr luke in sydney.,web_search
i want um TO bopk A meeting wigh partners FOE tuesday.,calendar_schedule
how are YOU DOKNG UH tlday!...,general_chat
Set up a meeting with team at 5:45pm,calendar_schedule
I need to what are the guidelines for training.,knowledge_query
What's the weather like in Nrw Yirk?,web_search
Search for presentation online.,web_search
cah you i wqnt to search fr repoet,web_search
hello SEARCH FOR REVIEW onlibe,web_search
"Hey, can you send an email to lisa about deadline",email_send
can you PLEASE BOOK A MEETING WITH BOARD AT 11:30am?...,calendar_schedule
Send AN email to Maria ABOUT TRAINING.,email_send
"Hello, CAN you EXPLAIN expenwe pilicy",knowledge_query
could u email maria regarding workshop?..,email_send
Hey plan a mewting with partners on tomorrow at 1:00pm,calendar_schedule
I want to i want to send an email to alex regarding deadline.,email_send
I need to i need to email alex about presentation,email_send
Please what's new,general_chat
Set a meeting with client on tomorrow!,calendar_schedule
Could you what is our company's vacation policy?,knowledge_query
Explain the expense policy?,knowledge_query
CAN YOU I NEED tu EMAIL david right about budget?,email_send
"Hey, WHAT'S UP",general_chat
Tell me how promotion works?,knowledge_query
"Hey, draft an email to tom about report",email_send
Would you mind please email maria about workshop?,email_send
Could you plan a meeting with group on wednesday at 9:00am?,calendar_schedule
Can you send a message to david via email about presentation?...,email_send
How does travel request work?,knowledge_query
write an email 2 jessica about report!,email_send
I WANT to what IS OUR company's vacation policy.,knowledge_query
Please look up information about revoew.!!,web_search
Would you mind how uh are you doing today?..,general_chat
hello search online fr hotel deals??,web_search
Please like create a calendar event with director on monday.,calendar_schedule
I need to plan a meeting with director on today at well 4pm.,calendar_schedule
Would you mihd how are you?,general_chat
"Hello, what's new",general_chat
"Hey, plan a meeting with partners on this afternoon at 2:30pm",calendar_schedule
"Hey, please book a meeting with board at 4pm",calendar_schedule
I NEED to I need RIGHT information about VACATION.,knowledge_query
I want to email alex regarding review.,email_send
"I want to what's up,",general_chat
please set a meeting with board on TODAY,calendar_schedule
"Hey, whar's happening??",general_chat
"pls tell me something interesting,!!",general_chat
Could you what's the weather likr in parid?,web_search
I nded to email John about presentation?,email_send
Hey tell me something interesting,general_chat
What's happening!,general_chat
Please book a meeting with manager at 10am!!,calendar_schedule
Set a mweting with board on Friday?,calendar_schedule
I need to i want to send an email to alex regarding presentation.,email_send
How's YOUR well day going???,general_chat
"please schedule A meeting with TEAM ON NEXT week at 1:00PM,",calendar_schedule
"Hello, WHAT'S happening",general_chat
Would you mind what's the process actually for time off?,knowledge_query
Would you mind what are the guidelines for report?,knowledge_query
how are u.,general_chat
I want to book a meeting with stakeholders for this afternoon.!!,calendar_schedule
would you mind LOOK UP movie times on the web!,web_search
Whzt's up,general_chat
What's the weather like in Sydney!,web_search
How do you feel right today?,general_chat
"Hello, tell me how travel request works",knowledge_query
hello YOU KNOW look UP information about cpnference,web_search
HEY how re right you DOING today,general_chat
Could you book a meeting with director for next week?,calendar_schedule
Please book a meeting with stakeholders at 2:30pm.,calendar_schedule
"Hello, set a meeting with team on thursday",calendar_schedule
How are you!,general_chat
Could yiu what's new?,general_chat
i NEED to UH SEARCH for PROJECT online.,web_search
What's the process for performance review.,knowledge_query
Could you what's THE process FOR onboarding?,knowledge_query
Hey book a meeting with bosrd for friday,calendar_schedule
I need to send a message to john via email about workshop.,email_send
I need well to email Lisa agout presentation!,email_send
Compose an email to Jlhn concerning budget.,email_send
I want to search the web for traibing.,web_search
"Hello, how do i submit expenses",knowledge_query
What's thd process for onboarding!,knowledge_query
Please schedule a meeting wiyh clieny on this afternoon at 11:30am.,calendar_schedule
"Hey, please email mike about review",email_send
Tell right ME HOW performance REVIEW works.,knowledge_query
search da web for trainimg.,web_search
Find information about workshop.,web_search
Can you schedule a meeting with partners for Wednesday?,calendar_schedule
how do you feel tuday,general_chat
Can you can you send an email to alex about report?,email_send
Cab you please book a meeting with client at 5:45pm,calendar_schedule
Could YOU WHAT'S up?,general_chat
What's happening.,general_chat
Please how does expense reporting work.,knowledge_query
What's happening!,general_chat
I want to create a calendar event with director on friday.,calendar_schedule
I want to how do i report an issue.,knowledge_query
could ya hpw do ya so feel today?!!,general_chat
Send an email to Alex about conference!,email_send
can you find UH news HEADLINES online!,web_search
Tell me about company travel!!,knowledge_query
Please how does onboarding work.,knowledge_query
I need to tell me about company travel.,knowledge_query
Please what is our company's expense policy.,knowledge_query
Could you can you schedule a meeting with stakeholders for monday?,calendar_schedule
would YOU MIND tell ME SOMETHING INTRRESTING,general_chat
Hey how do you feel today,general_chat
can you how does per4mance review work?,knowledge_query
"Hello, send a message TO emily VIA EMAIL ABOUT budget",email_send
"Hello, tell me how time off works",knowledge_query
Hello find me detsils avout budget,web_search
Please how do i submit expenses.,knowledge_query
What's the weather like in like Toronto!,web_search
how DO I report an ISSUE.,knowledge_query
"Hello, um can you schedule a meeting with board for this afternoon",calendar_schedule
I need to please book right a meeting with client at 3pm.,calendar_schedule
I need to i want to search FOR report,web_search
I NEED to create a CALENDAR event with PARTNERS ON tuesday..,calendar_schedule
"I want to basically whst's happening,",general_chat
What are the guidelines for meeting!,knowledge_query
Could you what's right happrning,general_chat
I want to explain the travel policy.,knowledge_query
can u find right information about project?,web_search
Can you draft an email to tom anout review?,email_send
Woupd you mind can you send an emqil to dqvid about review?,email_send
Woupd you mind compose an email to emily concerning conference?,email_send
Could you send a messqge to mike via email about deadlime?,email_send
i wang to find in4mation abiut report.,web_search
Please look up information about conference.,web_search
Hey search online fot weather so forecast,web_search
What's happening!,general_chat
Would you mind tell me hlw expense reporting works?,knowledge_query
Search flr like meeting online!,web_search
I want to write an email to sarah about workshop,email_send
look up weather 4ecast on the web?,web_search
Write an email to David about deadline?,email_send
COULD u compose an EMAIL TO alex concerning meeting?,email_send
i NEED to EMAIL Muke about review.!!,email_send
Hello tell me about company remote work,knowledge_query
draft an email basically 2 john about deadline.,email_send
Would you mind how do i scheduld a meeting?,knowledge_query
"Hello, what's the process for promotion",knowledge_query
How is everything!??,general_chat
Tell me hpw performance review works!,knowledge_query
"I want to how uh are you doing today,,,",general_chat
Search the web flr training.,web_search
Please can you find weather forecast online,web_search
Can you tell me how hiring works?,knowledge_query
Can you how do i request time off,knowledge_query
Please hpw ate you doing today.,general_chat
Look up sports scorrs on thd web,web_search
I want to tell me about company attendance.,knowledge_query
I nedd to how does hiring work.,knowledge_query
Would you mind send a message to david via email about training?,email_send
Can you please email alex about budget,email_send
Send a message to Mike viz email about budget!,email_send
Please I want to search for reviww.,web_search
Can you can you explain professional policy?,knowledge_query
I need to draft an email to maria about right presentation.,email_send
I want to email alex regarding review.,email_send
hpw are you!,general_chat
How do I update my profile.,knowledge_query
i need to SEARCH fof report onoine.,web_search
could you set up a meeting with manager AT 5:45PM?,calendar_schedule
"Hey, email maria regarding budget",email_send
would ya mind add a meeting with clieng to my calendar for today?,calendar_schedule
"HEY, what's thw weatehr like IN BEELIN",web_search
how's IT going?,general_chat
Please email david regarding presentation.,email_send
Search online for sports scoees!,web_search
find me DETAILS about PROJECT!,web_search
I need to send a mwssage to sarah vua emzil avout mewting.,email_send
How do so I request time off!,knowledge_query
"Hey, send an email to emily about presentation",email_send
"I need to i need information about expenae,",knowledge_query
hello search the wen you know fr report,web_search
I need information ABOUT so PROFESSIONAL?,knowledge_query
CZN you search DA web FOR MEETING?,web_search
how r you doing today!,general_chat
Could you can you send an email to alex about report?,email_send
Please what are the guidelines for deadline.,knowledge_query
"Hdy, tell me about company professional",knowledge_query
Please please book a meeting with team at 9:00am,calendar_schedule
Please i want to send an email to mike regarding project.,email_send
look up flight status on the web?!!,web_search
"Hello, what are the guidelines for conference",knowledge_query
Would you mind please email maria about project?,email_send
Would YOU mind BOOK A meeting with GROUP FOR friday?,calendar_schedule
I want to draft well an email to maria about presentation.,email_send
Would you mind how does time off work!,knowledge_query
"Please FOND LIKE INFORMATION ABOUT PRESENTATION,",web_search
"Hey, add a meeting with team to my calendat for today",calendar_schedule
"I want to can you explain leave policy,,,",knowledge_query
"hdllo, search the web for presentatiom",web_search
I need to tell me how travel request works.,knowledge_query
Would you mind find me detaols about you know budget!,web_search
Could you tell me how promotion works?,knowledge_query
I need to i want to search fof report.,web_search
Wpuld you mknd search online for flighy status,web_search
"Hello, email david regsrding report",email_send
"Hey, what's the WEATHER LIKE in BERLIN",web_search
"Hello, what's up",general_chat
Would you mind look up information about meeting?,web_search
i want to can u schedule a meeting with colldagues for monday,calendar_schedule
Tell me about company expense.,knowledge_query
"Hey, explain the remote work policy",knowledge_query
would u mind how do u feel today?,general_chat
I want to search for report onlune.,web_search
Hey book a meeting with managef flr this afternoon,calendar_schedule
How do I access the database.,knowledge_query
What's happwning.,general_chat
Would ylu mibd write an email to lisa about trainung?,email_send
Can you send an email to John about budget?,email_send
I need to set um up a meeting with stakeholders at 3pm.!!,calendar_schedule
"Hey, i need information about leave",knowledge_query
I need to what is our company's benrfits policy.,knowledge_query
I newd TO how's your day going.??,general_chat
Would you mind tell me how performance review works!,knowledge_query
would you mond i need information abt attendancr?,knowledge_query
Plan A meeting WITH stakeholders on tuesday AT 9:00am,calendar_schedule
"hello, SET A MEETING WITH COLLEAGUES on tuesday",calendar_schedule
please i need to email emily abt workshop.,email_send
"Hey, create a cqlendar eveht with partners on this afternoon",calendar_schedule
What's happening!,general_chat
"Hey, can you schedule a meetibg with colleagues for tomorrow..",calendar_schedule
Would you mind find information about um training?,web_search
"Hwllo, SEND a message to john via email ABOUT CONFERENCE",email_send
Book a meeting with direcgor for tpday?,calendar_schedule
What's the process for hiring.,knowledge_query
Would you mind i need to schedule a meeting with team on today!,calendar_schedule
I waht to compose an email to alex concerning deadline.,email_send
"Search online for hotel deals,",web_search
"Hello, look up information about conference",web_search
Whay is out company's VACATION POOICY?,knowledge_query
I WANT TO lolk up information about training,web_search
could YOU how ARE YOU?!!,general_chat
"Hello, create a calendar event with manager on next month",calendar_schedule
I want to i need to email mike about meeting,email_send
Could you plan a meeting with team on tomorrow at 5:45pm?,calendar_schedule
"Hello, look up so news headlines on the web",web_search
Would you mind tell me about company leave?,knowledge_query
I need to how do i schedule basically a meeting.,knowledge_query
"I WANT TO i need TO schedule a MEEGING WITH committee on next month,",calendar_schedule
Can you what's up!!,general_chat
Pleawe please book a medting with so client at 3:15pm.!!,calendar_schedule
"Hey, what is our company's travel policy",knowledge_query
I want to tell me how travel request works.,knowledge_query
Can you tell me how promotion works?,knowledge_query
How do you feel today,general_chat
What's up.,general_chat
What's up!!!,general_chat
"Hello, what are the guidelines for training",knowledge_query
Czn you look up movie times on the web,web_search
Would you mind what's the process for right onboarding?,knowledge_query
What's up?!!,general_chat
Hwy search for training online??,web_search
Would you mind find information about report?,web_search
I need to i basically need to schedule a meeting with stakeholders on friday.,calendar_schedule
Could you email tom regarding meeting?,email_send
Would you mind search for report online?!!,web_search
Compose an email to Alex concerning project!,email_send
"Search the web for budget!,,",web_search
How's it gokng?,general_chat
"Hello, send a message to tom via email about meeting",email_send
Could you i need to schedule a you know meeting with boafd on tuesday???,calendar_schedule
set a meeting with directur on next month?,calendar_schedule
Please how do i schedule a meeting.,knowledge_query
"Hey, set up a meeting with partners at 10am",calendar_schedule
Email John regarding project.,email_send
Could you please email jessica about review?,email_send
"Hello, i need to email maria about conference",email_send
would you mind look up s2ck pricws well on the web,web_search
"Hey, how do i submit expenses",knowledge_query
What's THE WEATHEE LIKE IN Singapore,web_search
Could right you search for conference onlone,web_search
Please please book a meetong with managwr at 2:30pm,calendar_schedule
I wanr to explain the leave policy.,knowledge_query
Would you mind look up informayion agout you know presentation?,web_search
Look up hotel deals on the web!...,web_search
"hello, what's da wdadar like in berlin",web_search
Please uh search for meeting online.,web_search
i want 2 look up information about project.,web_search
poease how IS EVERYTHING.,general_chat
"Hello, whzt's happening!!",general_chat
Could you write an email to sarah about training,email_send
"Hey, compose an email to sarah concerning meeting",email_send
I need to can you send an email to jessica about report.,email_send
pls book a meeting with client at 5:45pm.,calendar_schedule
Would YOU MIND FIND me DETAILS about report..,web_search
"Hello, what's the weather like in berlin",web_search
I want to set a meeting with client on next week.,calendar_schedule
I want to i need to schedule a meeting with director on this afternoon.,calendar_schedule
Could you schedule a meeting with managrr on friday at 2:30pm?,calendar_schedule
Ppease blok uh a meeting with stakehopders fof friday....,calendar_schedule
Find information about conference.,web_search
"Hello, find information about pfoject",web_search
Hey what's the weather like like in new york,web_search
Create a calendar event with director on next month.,calendar_schedule
Find me detqils so about budget!,web_search
I want to set up basically a meeting wkth team at 10:30am.,calendar_schedule
Could you i wamt to search for um conferenxe?,web_search
Please how's it basically going.,general_chat
Would you mind set a meeting with stakeholders on nwxt month?,calendar_schedule
czn YA explain teh leave policy?,knowledge_query
Semd an email to Lisa abput review!,email_send
"please email jessica REGARDING TRAINING,",email_send
Write an email to John about report.,email_send
What's new,general_chat
Please email Maria about budget.,email_send
Would you mind i need to email sarah about report?,email_send
"hello, tell me about COMPANY REMOTE WORK",knowledge_query
How does time off work?,knowledge_query
"Hello, look up informztion about budgdt",web_search
I need to compose an email to sarah concerning presentation.,email_send
Please i need to schedule a meeting with director on next week.,calendar_schedule
Woukd you mind set a meeting wiyh clkent on wednesday?,calendar_schedule
"Hello, book uh a meeting with client flr friday",calendar_schedule
"Hello, plsn a MEETING with TEAM on WEDNESDAY at 4PM",calendar_schedule
"hello, send a message tu sarah vua email about project",email_send
"Hello, what's up",general_chat
Could you how does hiring work?,knowledge_query
tell ME ABOUT company prmtal!,knowledge_query
Plan you KNOW A meeting WITH team ON Wednesday at 4PM.,calendar_schedule
Send a message to Jessica via email about conference!,email_send
"Compose an email to Alex concerning meeting,,,,",email_send
"Hello, search for reporr ohline",web_search
Can you how does project approval work?,knowledge_query
Can you FIND sports scores online.,web_search
Can you set um up a meeting with committee at 3pm?...,calendar_schedule
How is everything,general_chat
would you mibd i want um tu searxh for deadkine!,web_search
Could ylu what's the proxess for hiring??,knowledge_query
"Hey, how does performance review work",knowledge_query
Could you add a meeting with colleagues to my calendar for monday?...,calendar_schedule
would ya mind i waht to search fpr you know budget?,web_search
"Hey, what are the guidelines for conference",knowledge_query
What's new!,general_chat
Can you add a meeting with partners to my calendar for next week?,calendar_schedule
Could yiu swt up a meeting with manager at 10am,calendar_schedule
I want to plan a meeting with stakeholders on next week at 5:45pm.,calendar_schedule
How is everything.,general_chat
"Hello, set up a meeting with colleagues at 2:30pm",calendar_schedule
could um YOU find me DETAILS ABOUT MEETING,web_search
Please look up information about deadline.??,web_search
"Hello, send a message to john via email about presentation",email_send
What's the weather like in Berlin?,web_search
I need to what's up...,general_chat
How do I access the database.,knowledge_query
"Hello, i need to schedule a meetihg with team on wednesday",calendar_schedule
Send a message to Tpm via email about workshop!,email_send
I want to look right up weather forecast on thr web.,web_search
"Hello, add a meeting with client to my calendar for monday",calendar_schedule
Would you MIND set UP A meeting WITH client AT 10:30am,calendar_schedule
can YIU FIND information abt REVIEW?,web_search
I need to tell me how project approval works.,knowledge_query
"Hey, um seafch for presentation online",web_search
i need to fimd infrmation about actually conference.,web_search
Send an email to Lisa about training?,email_send
"Hello, please email david about review",email_send
I NEED to schedule a MEETING with CLIENT ON wednesday AT 3:15PM.,calendar_schedule
I want to how's it going.,general_chat
Pleade what's up.,general_chat
Please can ylu find flight status online.??,web_search
plan A meeting with BOARD on NEXT week at 3:15PM,calendar_schedule
could ya how's yar day going?,general_chat
I want to search the web for report.,web_search
Would you mind i need to email mike about conference,email_send
Liok up stock prices on the so wwb!,web_search
Could you tell me about company expense?,knowledge_query
Can you plan a meetimg with manager on thursday at 9:00am?,calendar_schedule
How's it GOING.??,general_chat
I want to please email maria so about meeting.,email_send
i want to HOW do so you FEEL today,general_chat
"hello, book a uh mreting with stakeholders for this afternoon",calendar_schedule
"Hello, can you send an email to maria about meeting",email_send
Email David regarding workshop.,email_send
"hello, can ya schedule a meeting with team for next month",calendar_schedule
Plwase create a calendar event wuth group on next month.??,calendar_schedule
Please how does hiring work.,knowledge_query
Draft an email to Lisa about review.,email_send
I WANT to send AN email TO SARAH about REPORT.,email_send
please find information abt deadline.,web_search
please i NEED INFORMATION about PARENTAL.,knowledge_query
Could you i need to schedule a meeting with partners on friday?,calendar_schedule
Can you please book a meeting with client at 3:15pm?,calendar_schedule
cam ya how ard ya doing today?,general_chat
Can you can you schedule a meeting with director for wednesday?,calendar_schedule
Please right write an email to david about report.,email_send
Cpuld you so what's happening?,general_chat
"Hello, what's up",general_chat
Please email Lisa about right project!,email_send
Find information ABOUT conference!,web_search
can ya set a meeting with right group on tuesday?,calendar_schedule
"Hello, send a like message to david via email about conference",email_send
Please how's like your day going.,general_chat
"Hello, compose an email to tom concerning deadline",email_send
Search for review so online?,web_search
please how do ya feel today.,general_chat
"Hey, what are the guidelines for like training",knowledge_query
How do you feel today!,general_chat
"Please fibd me deyails about right training,",web_search
i need 2 tekl me something interesting.,general_chat
Could ylu how's it so going,general_chat
Would you mimd tell me how performance review works?,knowledge_query
I need to schedule a meeting well with stakeholders on Monday?,calendar_schedule
Please what'w up.,general_chat
Please book a meeting with colleagues at 10:30am!,calendar_schedule
Could you book a meeting with colleagues for today?,calendar_schedule
I need to how are you doing today.,general_chat
hello boik a MEETING with MANAGER for FRIDAY...,calendar_schedule
I need to plan a meeying with group on next week at 10am.,calendar_schedule
I want to i want to send an email to tom regarding report.,email_send
I want to write an email to emily about report,email_send
Would you mind write an email to david about conference?,email_send
How do I schedule a meeting.,knowledge_query
Can you compose an emqil to maria concerning training?,email_send
Please book a meeting with client at 3pm!..,calendar_schedule
would u actually mind what's the weqther like in turontu!,web_search
could YPU CAN YA FIND redtaurants NEARBY ONLINE!!!,web_search
